AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Subarid
11,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
14.3,1,yes,no,no,no,no,no,no,3,3,3,no,nan,3,nan,nan,nan,arboreal,nan,1
14,1,yes,no,no,no,no,no,no,3,3,1,no,nan,nan,nan,nan,nan,<NA>,nan,1
18.2,1,yes,no,no,no,no,no,no,3,3,3,no,nan,3,nan,nan,nan,arboreal,nan,1
19.25,1,yes,no,no,no,no,no,no,3,3,1,no,17.5,2.4,nan,nan,nan,arboreal,nan,1
47.2,2,yes,no,yes,no,no,no,no,2,3,3,no,nan,1,nan,nan,nan,arboreal,nan,1
10,1,yes,no,no,no,no,no,no,3,3,1,no,nan,4,nan,nan,nan,terrestrial,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
8.3,1,yes,no,no,no,no,no,no,3,3,3,no,nan,4,nan,nan,nan,arboreal,nan,1
6.9,1,yes,no,no,no,no,no,no,3,3,3,no,nan,3,nan,nan,nan,arboreal,nan,1
7,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
524,5,yes,yes,yes,no,yes,no,yes,2,3,1,no,18.5,4,nan,nan,21.8,arboreal,nan,1
47.1,3,yes,yes,yes,no,no,no,no,2,3,3,no,nan,3,25.2,18,nan,arboreal,nan,1
8.2,1,no,no,no,no,yes,no,no,1,3,1,no,nan,5.5,nan,nan,nan,arboreal,nan,1
17.5,1,yes,no,no,no,no,no,no,3,3,4,yes,14,4,nan,nan,nan,<NA>,96,0
23.9,1,yes,no,no,no,no,no,no,3,3,4,no,nan,2,nan,nan,2.5,aquatic,nan,1
13.5,1,yes,no,no,no,no,no,no,3,3,3,no,nan,3.5,nan,nan,1.36,terrestrial,nan,1
15.25,1,yes,no,no,no,no,no,no,3,nan,nan,yes,nan,nan,nan,nan,nan,<NA>,nan,0
20,1,yes,no,no,no,no,no,no,3,3,1,no,nan,nan,nan,nan,nan,terrestrial,nan,1
14.2,1,yes,no,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
13.4,1,yes,no,no,no,no,no,no,3,3,3,no,16,2.5,18.2,13.8,1.8,arboreal,nan,1
22.5,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,3.5,nan,nan,nan,arboreal,nan,1
24.4,3,yes,yes,yes,no,no,no,no,2,3,3,no,13,3,nan,nan,nan,arboreal,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
31.25,3,yes,no,yes,no,no,yes,no,2,3,3,no,15,1.5,nan,nan,nan,arboreal,nan,0
28.3,2,yes,no,yes,no,no,no,no,2,3,3,no,nan,3,nan,nan,nan,arboreal,nan,1
24.8,2,yes,no,yes,no,no,no,no,2,3,3,no,nan,1.5,nan,nan,nan,arboreal,nan,1
15.2,4,yes,yes,yes,no,yes,no,no,2,3,3,yes,14.5,5,nan,nan,1.99,terrestrial,105.6,1
14.3,3,yes,no,no,yes,yes,no,no,2,3,3,no,nan,1,nan,nan,nan,arboreal,nan,1
7,2,yes,no,no,yes,no,no,no,2,3,3,no,14,2,nan,nan,0.96,arboreal,nan,1
6.5,3,yes,no,yes,yes,no,no,no,2,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
7.1,2,yes,no,no,yes,no,no,no,2,3,3,no,nan,2,nan,nan,nan,arboreal,nan,0
35.8,4,yes,no,yes,yes,no,yes,no,2,3,3,no,nan,3,nan,nan,nan,arboreal,nan,1
27.9,3,yes,no,yes,yes,no,no,no,2,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
16,3,yes,no,no,yes,yes,no,no,2,3,3,no,12.5,3,18,12.8,nan,arboreal,nan,1
18.9,3,yes,no,no,yes,yes,no,no,2,3,3,no,13,2.5,nan,nan,2.26,arboreal,nan,1
23.8,3,yes,no,no,no,yes,yes,no,2,3,3,no,nan,3,20.5,15.1,nan,arboreal,nan,1
23.8,2,yes,no,yes,no,no,no,no,2,3,3,no,nan,3,21,15.5,2.53,arboreal,nan,1
48.9,5,yes,no,yes,yes,yes,yes,no,2,3,3,no,nan,3,nan,nan,4.75,arboreal,nan,1
40.5,3,yes,no,yes,yes,no,no,no,2,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
48.8,4,yes,yes,yes,no,yes,no,no,2,3,3,no,19,3,nan,nan,nan,arboreal,nan,1
16,2,yes,yes,no,no,no,no,no,3,3,3,no,16,2,nan,nan,nan,arboreal,nan,1
16.8,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
97.6,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,2.5,nan,nan,nan,arboreal,nan,0
111,2,yes,yes,no,no,no,no,no,3,3,3,no,17,3.5,nan,nan,nan,arboreal,nan,1
14.1,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
24.5,1,yes,no,no,no,no,no,no,3,3,1,no,nan,2.5,nan,nan,nan,arboreal,nan,1
12.3,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
7.8,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
10.1,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
12.7,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
52,2,yes,yes,no,no,no,no,no,3,3,3,no,17,3,nan,nan,nan,arboreal,nan,0
12.7,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
70.4,2,yes,yes,no,no,no,no,no,3,3,3,no,16.5,4,nan,nan,nan,arboreal,nan,1
46.8,1,yes,no,no,no,no,no,no,3,3,3,no,16,2,nan,nan,nan,arboreal,nan,1
66.7,2,yes,yes,no,no,no,no,no,3,3,3,no,23,3,nan,nan,nan,arboreal,nan,1
65,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,3.5,nan,nan,nan,arboreal,nan,0
64.5,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
59.5,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
22.3,2,yes,no,yes,no,no,no,no,2,3,3,no,16,2,nan,nan,nan,arboreal,nan,1
19.6,3,yes,yes,yes,no,no,no,no,2,3,3,no,nan,3.5,nan,nan,nan,arboreal,nan,1
11.2,5,yes,no,yes,yes,yes,yes,no,2,3,1,no,nan,2,15.85,12.35,nan,arboreal,nan,1
